passenger_rank,airport_code,city_name,state_name,average_fair,average_fair_adjusted,year,quarter
413,LNS,Lancaster,PA,257.00,257.00,2020,1
415,GGW,Glasgow,MT,332.00,332.00,2020,1
416,GDV,Glendive,MT,474.50,474.50,2020,1
417,OLF,Wolf Point,MT,893.00,893.00,2020,1
418,GLH,Greenville,MS,278.67,278.67,2020,1
419,TUP,Tupelo,MS,429.00,429.00,2020,1
419,PGA,Page,AZ,626.40,626.40,2020,1
421,ELD,El Dorado,AR,440.25,440.25,2020,1
421,HRO,Harrison,AR,288.33,288.33,2020,1
423,PKB,Parkersburg,WV,450.00,450.00,2020,1
423,HOT,Hot Springs,AR,392.00,392.00,2020,1
423,BKW,Beckley,WV,590.33,590.33,2020,1
423,MKT,Mankato,MN,254.76,254.76,2020,1
427,OOK,Toksook,AK,561.00,561.00,2020,1
427,CEC,Crescent City,CA,369.00,369.00,2020,1
427,MCN,Macon,GA,426.00,426.00,2020,1
